HOSPITAL,ID,BOROUGH,OPEN/CLOSED,EMERGENCY DEPARTMENT,AVAILABLE BEDS,HEART CARE RATING,# HEART PATIENTS,DISTANCE,TIME FOR CARE,,"MODEL 
nonprofit, for profit",REVENUE,HEART CARE RATING,OPERATING EXPENSE,LAND VALUE
A.H. Wade's Hospital,,,Closed,,,,,,,,,,,,
"Adelphi Hospital, 50 Greene Avenue, Brooklyn, now apartments.",,,Closed,,,,,,,,,,,,
Arthur C. Logan Memorial Hospital,,,Closed,,,,,,,,,,,,
"Baptist Medical Center 2749 Linden Blvd, Brooklyn, now nursing home.",,,Closed,,,,,,,,,,,,
"Bay Ridge Hospital 437 Ovington Ave, Brooklyn, now nursing home.",,,Closed,,,,,,,,,,,,
"Beekman-Downtown Hospital – Founded in 1905; 117 Beekman Street, Manhattan.",,,Closed,,,,,,,,,,,,
Bellevue Hospital Center ,330204,Manhattan,Open,Yes,912,100,,,,,,,,,
"Beth David Hospital – Founded in 1887; 159 East 19th Street, Manhattan.",,,Closed,,,,,,,,,,,,
Beth Israel Medical Center ,330169,Manhattan,Open,Yes,856,98.44,,,,,,,,,
Beth Israel Medical Center - Kings Highway Division ,,Brooklyn,Open,Yes,212,98.44,,,,,,,,,
"Beth Moses Hospital 404 Hart Street, Brooklyn.",,,Closed,,,,,,,,,,,,
"Bethany Deaconess Hospital 237 St. Nicholas Avenue, Ridgewood, Queens.",,,Closed,,,,,,,,,,,,
Blackwell's Island Hospital 800 beds,,,Closed,,,,,,,,,,,,
Bloomingdale Asylum for the Insane,,,Closed,,,,,,,,,,,,
"Boulevard Hospital 46-04 31st Avenue, Astoria, now private medical offices.",,,Closed,,,,,,,,,,,,
"Bradford Street Hospital 15 Bradford Street, Brooklyn.",,,Closed,,,,,,,,,,,,
"Bronx Hospital – Founded in 1908; 1276 Fulton Avenue, The Bronx. Merged in 1962 with Lebanon Hospital, The Bronx.",,,Closed,,,,,,,,,,,,
